,State,District,Crop,Area (Hectare),TotalDistrictArea,TopTwoCropArea,TopTwoCropAreaPercent
284,Madhya Pradesh, SEONI,Soyabean,120161.0,307951.0,236500.0,0.7679793213855451
285,Madhya Pradesh, SEONI,Rice,116339.0,307951.0,236500.0,0.7679793213855451
286,Madhya Pradesh, SHAHDOL,Rice,100909.0,159414.0,115486.0,0.724440764299246
287,Madhya Pradesh, SHAHDOL,Small millets,14577.0,159414.0,115486.0,0.724440764299246
288,Madhya Pradesh, SHAJAPUR,Soyabean,348574.0,418580.0,387627.0,0.92605236752831
289,Madhya Pradesh, SHAJAPUR,Maize,39053.0,418580.0,387627.0,0.92605236752831
290,Madhya Pradesh, SHEOPUR,Sesamum,52409.0,95339.0,69147.0,0.7252750710622096
291,Madhya Pradesh, SHEOPUR,Bajra,16738.0,95339.0,69147.0,0.7252750710622096
292,Madhya Pradesh, SHIVPURI,Soyabean,121592.0,290777.0,204945.0,0.7048184691361421
293,Madhya Pradesh, SHIVPURI,Groundnut,83353.0,290777.0,204945.0,0.7048184691361421
294,Madhya Pradesh, SIDHI,Rice,58194.0,134970.0,86580.0,0.6414758835296732
295,Madhya Pradesh, SIDHI,Arhar/Tur,28386.0,134970.0,86580.0,0.6414758835296732
296,Madhya Pradesh, SINGRAULI,Rice,44338.0,150492.0,74629.0,0.4959001142917896
